raceId,year,driverId,constructorId,finish_points,grid,position,racer_name,constructor_name,qual_points,teammate_points
344,2010,16,10,1.0,9,10.0,Adrian Sutil,Force India,2,0.0
344,2010,30,131,0.0,13,11.0,Michael Schumacher,Mercedes,0,0.0
344,2010,153,5,0.0,16,12.0,Jaime Alguersuari,Toro Rosso,0,0.0
344,2010,807,3,0.0,12,13.0,Nico Hülkenberg,Williams,0,1.0
344,2010,22,3,0.0,11,14.0,Rubens Barrichello,Williams,0,0.0
344,2010,13,6,0.0,6,15.0,Felipe Massa,Ferrari,8,0.0
344,2010,5,205,0.0,19,16.0,Heikki Kovalainen,Lotus,0,0.0
344,2010,808,4,0.0,14,17.0,Vitaly Petrov,Renault,0,0.0
344,2010,812,164,0.0,24,18.0,Karun Chandhok,HRT,0,1.0
344,2010,810,166,0.0,23,19.0,Lucas di Grassi,Virgin,0,1.0
344,2010,10,166,0.0,21,,Timo Glock,Virgin,0,0.0
344,2010,15,205,0.0,20,,Jarno Trulli,Lotus,0,1.0
344,2010,37,15,0.0,17,,Pedro de la Rosa,Sauber,0,0.0
344,2010,811,164,0.0,22,,Bruno Senna,HRT,0,0.0
344,2010,155,15,0.0,18,,Kamui Kobayashi,Sauber,0,1.0
345,2010,20,9,25.0,1,1.0,Sebastian Vettel,Red Bull,25,1.0
345,2010,1,1,18.0,3,2.0,Lewis Hamilton,McLaren,15,1.0
345,2010,18,1,15.0,7,3.0,Jenson Button,McLaren,6,0.0
345,2010,22,3,12.0,9,4.0,Rubens Barrichello,Williams,2,0.0
345,2010,9,4,10.0,6,5.0,Robert Kubica,Renault,8,1.0
345,2010,16,10,8.0,13,6.0,Adrian Sutil,Force India,0,1.0
345,2010,155,15,6.0,18,7.0,Kamui Kobayashi,Sauber,0,1.0
345,2010,4,6,4.0,4,8.0,Fernando Alonso,Ferrari,12,1.0
345,2010,67,5,2.0,11,9.0,Sébastien Buemi,Toro Rosso,0,1.0
345,2010,3,131,1.0,12,10.0,Nico Rosberg,Mercedes,0,1.0
345,2010,13,6,0.0,5,11.0,Felipe Massa,Ferrari,10,0.0
345,2010,37,15,0.0,16,12.0,Pedro de la Rosa,Sauber,0,0.0
345,2010,153,5,0.0,17,13.0,Jaime Alguersuari,Toro Rosso,0,0.0
345,2010,808,4,0.0,10,14.0,Vitaly Petrov,Renault,1,0.0
345,2010,30,131,0.0,15,15.0,Michael Schumacher,Mercedes,0,0.0
345,2010,24,10,0.0,14,16.0,Vitantonio Liuzzi,Force India,0,0.0
345,2010,810,166,0.0,21,17.0,Lucas di Grassi,Virgin,0,1.0
345,2010,812,164,0.0,23,18.0,Karun Chandhok,HRT,0,1.0
345,2010,10,166,0.0,22,19.0,Timo Glock,Virgin,0,0.0
345,2010,811,164,0.0,24,20.0,Bruno Senna,HRT,0,0.0
345,2010,15,205,0.0,19,21.0,Jarno Trulli,Lotus,0,1.0
